Time,AccelRoll,AccelPitch,AccelYaw,CompRoll,CompPitch,CompYaw,MahonyRoll,MahonyPitch,MahonyYaw,MadgwickRoll,MadgwickPitch,MadgwickYaw,MEKFRoll,MEKFPitch,MEKFYaw
1.750000,-2.405057,-1.091433,0.000000,-2.365008,-1.086162,-0.003461,1.638503,1.888378,-40.442589,0.895085,0.478383,-6.401629,171.139221,-3.795801,-75.398331
1.766667,-2.451501,-1.180530,0.000000,-2.366727,-1.088042,-0.003454,1.601938,1.869502,-40.615982,0.900994,0.482458,-6.461634,172.037476,-3.083884,-75.486893
1.783333,-2.348418,-1.135622,0.000000,-2.366339,-1.088977,-0.003465,1.569082,1.853387,-40.791088,0.908172,0.487536,-6.522688,172.912796,-2.394128,-75.554153
1.800000,-2.257239,-0.966060,-0.000000,-2.364126,-1.086512,-0.003478,1.537078,1.837862,-40.958935,0.915994,0.492379,-6.583711,173.766907,-1.724050,-75.618233
1.816667,-2.498118,-1.029412,0.000000,-2.366815,-1.085382,-0.003457,1.497821,1.818808,-41.121555,0.920378,0.495612,-6.643143,174.591064,-1.065980,-75.678596
1.833333,-2.249861,-1.229575,0.000000,-2.364414,-1.088230,-0.003476,1.467602,1.800104,-41.285740,0.929799,0.501333,-6.704780,175.400955,-0.425043,-75.722588
1.850000,-2.364396,-0.924835,0.000000,-2.364413,-1.084955,-0.003477,1.432273,1.784936,-41.449589,0.935234,0.506181,-6.765265,176.185135,0.193235,-75.753044
1.866667,-2.413377,-0.866151,0.000000,-2.365390,-1.080592,-0.003495,1.397111,1.770429,-41.612942,0.940917,0.510312,-6.826867,176.945175,0.792610,-75.770958
1.883333,-2.181002,-1.203916,0.000000,-2.361631,-1.083043,-0.003512,1.369719,1.751482,-41.771301,0.951474,0.515181,-6.888412,177.691605,1.381492,-75.785637
1.900000,-2.336829,-1.269939,0.000000,-2.361124,-1.086793,-0.003490,1.335939,1.729188,-41.926701,0.957747,0.517900,-6.947762,178.412521,1.958880,-75.795151
1.916667,-2.576365,-0.997580,0.000000,-2.365448,-1.084991,-0.003478,1.296610,1.713235,-42.079224,0.961700,0.523322,-7.007654,179.106323,2.512047,-75.798828
1.933333,-2.218643,-1.107117,0.000000,-2.362501,-1.085446,-0.003477,1.264361,1.692735,-42.231010,0.967976,0.526371,-7.068132,179.793365,3.055067,-75.795395
1.950000,-2.397570,-1.194742,-0.000000,-2.363240,-1.087665,-0.003486,1.225537,1.668669,-42.378559,0.970608,0.527877,-7.129304,-179.545227,3.587719,-75.792503
1.966667,-2.424488,-1.121967,0.000000,-2.364424,-1.088335,-0.003498,1.191612,1.649203,-42.522373,0.978242,0.532762,-7.190358,-178.900024,4.099096,-75.785454
1.983333,-2.462696,-0.973632,-0.000000,-2.366388,-1.086054,-0.003505,1.153677,1.629109,-42.663532,0.982783,0.535993,-7.251499,-178.272308,4.596947,-75.777000
2.000000,-2.265634,-1.173727,0.000000,-2.364332,-1.087781,-0.003525,1.121629,1.608018,-42.801842,0.990423,0.541030,-7.313135,-177.656616,5.081715,-75.765228
2.016667,-2.470058,-0.984428,0.000000,-2.366485,-1.085716,-0.003502,1.083065,1.589855,-42.941547,0.993029,0.545077,-7.372444,-177.065964,5.547912,-75.741188
2.033333,-2.579046,-1.000603,0.000000,-2.370725,-1.084008,-0.003509,1.045100,1.571146,-43.078041,0.998088,0.549601,-7.433538,-176.491150,6.001488,-75.718376
2.050000,-2.308831,-1.183326,0.000000,-2.369436,-1.085977,-0.003508,1.015167,1.551010,-43.215359,1.006544,0.554296,-7.493949,-175.924377,6.442839,-75.685310
2.066667,-2.422013,-0.997991,0.000000,-2.370465,-1.084211,-0.003528,0.980657,1.532180,-43.348560,1.012596,0.558815,-7.555571,-175.376328,6.869511,-75.655205
2.083333,-2.289251,-1.021796,0.000000,-2.368800,-1.082935,-0.003529,0.950678,1.515154,-43.482475,1.020412,0.564554,-7.615927,-174.839203,7.280941,-75.615685
2.100000,-2.467068,-1.065735,0.000000,-2.370764,-1.082614,-0.003527,0.914640,1.493392,-43.613083,1.024929,0.566992,-7.676452,-174.321426,7.686262,-75.578812
2.116667,-2.274072,-1.141696,0.000000,-2.368768,-1.083769,-0.003537,0.884111,1.471568,-43.733253,1.033594,0.572062,-7.737451,-173.813217,8.079345,-75.554848
2.133333,-2.246487,-1.000445,0.000000,-2.366291,-1.082105,-0.003537,0.854525,1.452874,-43.863922,1.040529,0.575922,-7.797854,-173.316071,8.456586,-75.506172
2.150000,-2.401435,-1.169030,0.000000,-2.366973,-1.083858,-0.003556,0.821547,1.430399,-43.994190,1.046139,0.578563,-7.859535,-172.835358,8.827805,-75.456406
2.166667,-2.488648,-1.214421,-0.000000,-2.369405,-1.086453,-0.003579,0.786263,1.409037,-44.120918,1.050569,0.582958,-7.921177,-172.372589,9.186484,-75.408325
2.183333,-2.478028,-1.035082,0.000000,-2.371576,-1.085449,-0.003575,0.750699,1.387472,-44.241802,1.054867,0.585437,-7.981670,-171.922256,9.533918,-75.365135
2.200000,-2.177793,-1.131555,0.000000,-2.367688,-1.086374,-0.003582,0.720263,1.364650,-44.357357,1.060658,0.588737,-8.042651,-171.478729,9.871706,-75.326576
2.216667,-2.430778,-1.118364,0.000000,-2.368999,-1.087036,-0.003570,0.683613,1.342503,-44.478718,1.062078,0.590940,-8.102558,-171.053665,10.199356,-75.274551
2.233333,-2.550862,-1.114282,0.000000,-2.372615,-1.087574,-0.003579,0.648520,1.321255,-44.593639,1.067331,0.594961,-8.163606,-170.640961,10.515833,-75.231812
2.250000,-2.443992,-1.104155,0.000000,-2.374001,-1.087879,-0.003589,0.616997,1.301772,-44.706837,1.074365,0.600349,-8.224555,-170.237823,10.819801,-75.187553
2.266667,-2.399750,-1.090789,0.000000,-2.374496,-1.087940,-0.003577,0.585762,1.281399,-44.823132,1.079992,0.603846,-8.284394,-169.843277,11.116080,-75.134148
2.283333,-2.364538,-1.073102,0.000000,-2.374275,-1.087626,-0.003566,0.554102,1.261080,-44.933857,1.085264,0.608265,-8.344247,-169.458160,11.403953,-75.088631
2.300000,-2.367971,-1.152305,0.000000,-2.374128,-1.088913,-0.003575,0.522635,1.238921,-45.042439,1.090767,0.612007,-8.405252,-169.085464,11.684158,-75.044304
